COUNTY,Date,CASE_STATUS,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated
Alcona,3/1/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/2/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/3/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/4/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/5/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/6/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/7/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/8/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/9/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/10/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/11/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/12/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/13/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/14/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/15/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/16/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/17/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/18/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/19/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/20/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/21/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/22/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/23/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/24/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/25/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/26/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/27/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/28/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/29/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/30/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
Alcona,3/31/2020,Confirmed,0,0,0,0,2020/11/16 14:52:34
