COUNTY,Date,test_date,new_positives,county
Alcona,3/1/2020,2020-03-01,0,Alcona
Alcona,3/2/2020,2020-03-02,0,Alcona
Alcona,3/3/2020,2020-03-03,0,Alcona
Alcona,3/4/2020,2020-03-04,0,Alcona
Alcona,3/5/2020,2020-03-05,0,Alcona
Alcona,3/6/2020,2020-03-06,0,Alcona
Alcona,3/7/2020,2020-03-07,0,Alcona
Alcona,3/8/2020,2020-03-08,0,Alcona
Alcona,3/9/2020,2020-03-09,0,Alcona
Alcona,3/10/2020,2020-03-10,0,Alcona
Alcona,3/11/2020,2020-03-11,0,Alcona
Alcona,3/12/2020,2020-03-12,0,Alcona
Alcona,3/13/2020,2020-03-13,0,Alcona
Alcona,3/14/2020,2020-03-14,0,Alcona
Alcona,3/15/2020,2020-03-15,0,Alcona
Alcona,3/16/2020,2020-03-16,0,Alcona
Alcona,3/17/2020,2020-03-17,0,Alcona
Alcona,3/18/2020,2020-03-18,0,Alcona
Alcona,3/19/2020,2020-03-19,0,Alcona
Alcona,3/20/2020,2020-03-20,0,Alcona
Alcona,3/21/2020,2020-03-21,0,Alcona
Alcona,3/22/2020,2020-03-22,0,Alcona
Alcona,3/23/2020,2020-03-23,0,Alcona
Alcona,3/24/2020,2020-03-24,0,Alcona
Alcona,3/25/2020,2020-03-25,0,Alcona
Alcona,3/26/2020,2020-03-26,0,Alcona
Alcona,3/27/2020,2020-03-27,0,Alcona
Alcona,3/28/2020,2020-03-28,0,Alcona
Alcona,3/29/2020,2020-03-29,0,Alcona
Alcona,3/30/2020,2020-03-30,0,Alcona
Alcona,3/31/2020,2020-03-31,0,Alcona
Alcona,4/1/2020,2020-04-01,0,Alcona
Alcona,4/2/2020,2020-04-02,0,Alcona
Alcona,4/3/2020,2020-04-03,0,Alcona
Alcona,4/4/2020,2020-04-04,0,Alcona
Alcona,4/5/2020,2020-04-05,0,Alcona
Alcona,4/6/2020,2020-04-06,0,Alcona
Alcona,4/7/2020,2020-04-07,0,Alcona
Alcona,4/8/2020,2020-04-08,1,Alcona
Alcona,4/9/2020,2020-04-09,0,Alcona
Alcona,4/10/2020,2020-04-10,0,Alcona
Alcona,4/11/2020,2020-04-11,0,Alcona
Alcona,4/12/2020,2020-04-12,0,Alcona
Alcona,4/13/2020,2020-04-13,1,Alcona
Alcona,4/14/2020,2020-04-14,1,Alcona
Alcona,4/15/2020,2020-04-15,1,Alcona
Alcona,4/16/2020,2020-04-16,0,Alcona
Alcona,4/17/2020,2020-04-17,0,Alcona
Alcona,4/18/2020,2020-04-18,1,Alcona
Alcona,4/19/2020,2020-04-19,1,Alcona
Alcona,4/20/2020,2020-04-20,0,Alcona
Alcona,4/21/2020,2020-04-21,0,Alcona
Alcona,4/22/2020,2020-04-22,0,Alcona
Alcona,4/23/2020,2020-04-23,0,Alcona
Alcona,4/24/2020,2020-04-24,1,Alcona
Alcona,4/25/2020,2020-04-25,0,Alcona
Alcona,4/26/2020,2020-04-26,0,Alcona
Alcona,4/27/2020,2020-04-27,0,Alcona
Alcona,4/28/2020,2020-04-28,0,Alcona
Alcona,4/29/2020,2020-04-29,0,Alcona
Alcona,4/30/2020,2020-04-30,0,Alcona
Alcona,5/1/2020,2020-05-01,0,Alcona
Alcona,5/2/2020,2020-05-02,0,Alcona
Alcona,5/3/2020,2020-05-03,0,Alcona
Alcona,5/4/2020,2020-05-04,0,Alcona
Alcona,5/5/2020,2020-05-05,0,Alcona
Alcona,5/6/2020,2020-05-06,1,Alcona
Alcona,5/7/2020,2020-05-07,0,Alcona
Alcona,5/8/2020,2020-05-08,0,Alcona
Alcona,5/9/2020,2020-05-09,1,Alcona
Alcona,5/10/2020,2020-05-10,0,Alcona
Alcona,5/11/2020,2020-05-11,0,Alcona
Alcona,5/12/2020,2020-05-12,0,Alcona
Alcona,5/13/2020,2020-05-13,0,Alcona
Alcona,5/14/2020,2020-05-14,1,Alcona
Alcona,5/15/2020,2020-05-15,1,Alcona
Alcona,5/16/2020,2020-05-16,0,Alcona
Alcona,5/17/2020,2020-05-17,1,Alcona
Alcona,5/18/2020,2020-05-18,2,Alcona
Alcona,5/19/2020,2020-05-19,1,Alcona
Alcona,5/20/2020,2020-05-20,1,Alcona
Alcona,5/21/2020,2020-05-21,0,Alcona
Alcona,5/22/2020,2020-05-22,2,Alcona
Alcona,5/23/2020,2020-05-23,0,Alcona
Alcona,5/24/2020,2020-05-24,1,Alcona
Alcona,5/25/2020,2020-05-25,0,Alcona
Alcona,5/26/2020,2020-05-26,0,Alcona
Alcona,5/27/2020,2020-05-27,1,Alcona
Alcona,5/28/2020,2020-05-28,0,Alcona
Alcona,5/29/2020,2020-05-29,0,Alcona
Alcona,5/30/2020,2020-05-30,0,Alcona
Alcona,5/31/2020,2020-05-31,1,Alcona
Alcona,6/1/2020,2020-06-01,0,Alcona
Alcona,6/2/2020,2020-06-02,0,Alcona
